,Model,pim_layer_latency,Total_Compute_Cycles,Total_Attention_Cycles,pim_+_tpu_latency,tpu_latency,n_layers,n_tokens_tpu_pim,n_tokens_tpu
10,1-gpt2-small,68925,37518,14520,0.00021412500000000001,0.00037518,12,389.18077446974115,222.11560673099135
5,2-gpt2-medium,75081,56170,19360,0.000268681,0.0005617,24,155.07857521248866,74.17957391252745
9,2-opt-350m,93933,86866,19360,0.000287533,0.00086866,24,144.9109029804115,47.96659989715961
3,3-gpt2-large,86146,77894,24200,0.000328146,0.0007789400000000001,36,84.65066701339579,35.660997994425465
8,4-gpt2-xl,105853,118864,30250,0.000408353,0.0011886400000000001,48,51.01795097215725,17.527033696773902
1,3-opt-1b3m,170174,272042,38720,0.000557374,0.0027204200000000003,24,74.75531091630873,15.316262439868353
4,4-opt-2b7m,212610,392326,39232,0.00060493,0.0039232600000000005,32,51.65886962127849,7.965314559830344
2,1-llama-7b,320907,717892,40768,0.000728587,0.00717892,32,42.891240167612104,4.3530224602029275
7,5-opt-6b7m,399662,900634,40768,0.0008073420000000001,0.00900634,32,38.70726408387028,3.469777956417368
6,6-opt-13b,570507,1371554,50960,0.001080107,0.01371554,40,23.14585499399596,1.8227499609931508
0,7-opt-30b,1007641,2608306,71344,0.0017210810000000002,0.02608306,48,12.104795377633785,0.7987304148107367
