,Model,pim_layer_latency,Total_Compute_Cycles,Total_Attention_Cycles,pim_+_tpu_latency,tpu_latency,n_layers,n_tokens_tpu_pim,n_tokens_tpu,Energy_tpu_nJ
2,1-gpt2-small,46431,49014,26016,0.000306591,0.00049014,12,271.80619565914634,170.01945022510574,110293.36138800002
4,2-gpt2-medium,49919,71498,34688,0.00039679900000000003,0.00071498,24,105.00698506464649,58.276688392216094,160887.80251600003
6,2-opt-350m,68770,102194,34688,0.00041565000000000005,0.00102194,24,100.24459681623159,40.772126217455686,229961.230948
9,3-gpt2-large,56882,97054,43360,0.000490482,0.0009705400000000001,36,56.63363340097654,28.62095099406287,218394.98706800005
7,4-gpt2-xl,71250,142814,54200,0.0006132500000000001,0.00142814,48,33.97200706617747,14.58773883046013,321366.060988
10,3-opt-1b3m,129023,302698,69376,0.000822783,0.0030269800000000003,24,50.64113705152716,13.765094802960926,681143.7529160001
8,4-opt-2b7m,164080,423494,70400,0.00086808,0.00423494,32,35.99898626854667,7.379089196068893,952963.9855480001
5,1-llama-7b,244099,750596,73472,0.0009788190000000001,0.007505960000000001,32,31.92622946632625,4.163358184695895,1689022.6442320002
3,5-opt-6b7m,322854,933338,73472,0.0010575740000000001,0.00933338,32,29.548759708540487,3.348197544726562,2100236.367796
1,2-llama-13b,344382,1132934,91840,0.001262782,0.01132934,40,19.797558089994947,2.2066598760386746,2549375.670028
0,6-opt-13b,466250,1412434,91840,0.00138465,0.01412434,40,18.055104177951105,1.7699942085789493,3178318.3090280006
11,7-opt-30b,839472,2665538,128576,0.0021252320000000003,0.026655380000000003,48,9.802851327917766,0.7815808040753248,5998105.560196001
