,Model,pim_layer_latency,Total_Compute_Cycles,Total_Attention_Cycles,pim_+_tpu_latency,tpu_latency,n_layers,n_tokens_tpu_pim,n_tokens_tpu
2,1-gpt2-small,46431,139218,19704,0.00024347100000000001,0.00139218,12,342.2721118052389,59.85816010381799
4,2-gpt2-medium,49919,234778,26272,0.000312639,0.0023477800000000003,24,133.27405303454356,17.74726195242598
6,2-opt-350m,68770,437338,26272,0.00033149000000000004,0.0043733800000000005,24,125.69509386909608,9.52733736072938
9,3-gpt2-large,56882,354914,32840,0.00038528200000000003,0.00354914,36,72.097263245565,7.826622161362408
7,4-gpt2-xl,71250,539644,41050,0.00048175000000000003,0.005396440000000001,48,43.24511330219685,3.8605698077498003
10,3-opt-1b3m,129023,1661114,52544,0.0006544630000000001,0.01661114,24,63.665427482786136,2.508356841653653
8,4-opt-2b7m,164080,2569050,66816,0.00083224,0.0256905,32,37.54926463520138,1.2164029505069966
5,1-llama-7b,244099,5065482,89280,0.001136899,0.05065482,32,27.487050300862258,0.6169205615576168
3,5-opt-6b7m,322854,6452154,89280,0.001215654,0.06452154,32,25.70632762282689,0.4843343788756437
1,2-llama-13b,344382,7888458,111600,0.001460382,0.07888458000000001,40,17.118808640479,0.3169187184618337
0,6-opt-13b,466250,10031274,111600,0.00158225,0.10031274000000001,40,15.800284405119292,0.24922058753454443
11,7-opt-30b,839472,19548810,156240,0.002401872,0.19548810000000003,48,8.673789999356057,0.10657085179779911
