,Model,pim_layer_latency,Total_Compute_Cycles,Total_Attention_Cycles,pim_+_tpu_latency,tpu_latency,n_layers,n_tokens_tpu_pim,n_tokens_tpu
2,1-gpt2-small,68925,412818,293304,0.003001965,0.00412818,12,27.75959524289368,20.18645827782057
7,2-gpt2-medium,75081,599578,391072,0.003985801000000001,0.00599578,24,10.45377495431073,6.949332141383884
3,2-opt-350m,93933,802138,391072,0.004004653,0.00802138,24,10.404563558107697,5.194451162601282
0,3-gpt2-large,86146,810914,488840,0.004974546000000001,0.00810914,36,5.583982493634148,3.4254899752350774
9,4-gpt2-xl,105853,1109644,611050,0.006216353,0.01109644,48,3.3513755305294493,1.8774790233023682
6,3-opt-1b3m,170174,2390714,782144,0.007991614000000001,0.02390714,24,5.213798697818321,1.7428545056692963
10,4-opt-2b7m,212610,3482970,980736,0.010019970000000001,0.034829700000000005,32,3.1187718126900577,0.8972227725188558
1,1-llama-7b,320907,6286602,1310400,0.013424907000000002,0.06286602000000001,32,2.3277628664392234,0.4970888884010789
5,5-opt-6b7m,399662,7673274,1310400,0.013503662000000001,0.07673274000000001,32,2.31418707014438,0.40725771033329444
8,6-opt-13b,570507,11557674,1638000,0.016950507,0.11557674000000001,40,1.4748821377437265,0.21630649904124302
4,7-opt-30b,1007641,21685770,2293200,0.023939641,0.21685770000000001,48,0.8702441834166741,0.09606914272969479
