,Pim Latency (ns),Buffer Latency (ns),Digital Latency (ns),Computing Latency (ns),Intra-Tile Latency (ns),Inter-Tile Latency (ns),One Layer Merge Latency (ns),Model,Systolic_Array_latency
0,53565,42240.0,515.9182079999999,1341.3612326400005,25.5,24802.8,19887.6,1-gpt2-small,744240
5,59721,42240.0,515.9182079999999,1341.3612326400005,25.5,30958.800000000003,22357.2,2-gpt2-medium,992320
6,78573,42240.0,515.9182079999999,1341.3612326400005,25.5,49810.4,24415.2,2-opt-350m,992320
2,70786,42240.0,515.9182079999999,1341.3612326400005,25.5,42024.0,23592.0,3-gpt2-large,1240400
10,90493,42240.0,515.9182079999999,1341.3612326400005,25.5,61730.8,33058.8,4-gpt2-xl,1550500
1,154814,42240.0,515.9182079999999,1341.3612326400005,25.5,126052.0,35940.0,3-opt-1b3m,1984640
7,197250,42240.0,515.9182079999999,1341.3612326400005,25.5,168487.59999999998,44583.600000000006,4-opt-2b7m,2496000
3,384302,42240.0,515.9182079999999,1341.3612326400005,25.5,355540.00000000006,58989.600000000006,5-opt-6b7m,3335040
8,305547,42240.0,515.9182079999999,1341.3612326400005,25.5,276784.4,56931.6,1-llama-7b,3335040
4,555147,42240.0,515.9182079999999,1341.3612326400005,25.5,526385.2,67633.20000000001,6-opt-13b,4168800
9,433279,42240.0,515.9182079999999,1341.3612326400005,25.5,404517.2,65163.6,2-llama-13b,4168800
11,992281,42240.0,515.9182079999999,1341.3612326400005,25.5,963518.4,86155.20000000001,7-opt-30b,5836320
